Date,Target,Lag_1,Lag_2,Lag_3,Lag_4,Lag_5,day_of_week,month,day_of_month
2023-11-16,-0.02788117971729437,0.0011206616784362475,5.031152266991621e-05,-0.0035965492095244487,-0.002310301770421532,-0.0021708577851949308,3,11,16
2023-11-15,-0.03348326543537336,-0.008361302830911023,0.0011206616784362475,5.031152266991621e-05,-0.0035965492095244487,-0.002310301770421532,2,11,15
2023-11-14,-0.030020712506567078,-0.0024379443293558118,-0.008361302830911023,0.0011206616784362475,5.031152266991621e-05,-0.0035965492095244487,1,11,14
2023-11-13,-0.013715657793739473,-0.008528681338189067,-0.0024379443293558118,-0.008361302830911023,0.0011206616784362475,5.031152266991621e-05,0,11,13
2023-11-10,-0.0029674314529037583,-0.017405798634926705,-0.008528681338189067,-0.0024379443293558118,-0.008361302830911023,0.0011206616784362475,4,11,10
2023-11-09,-0.013702932199584978,-0.007234315818624355,-0.017405798634926705,-0.008528681338189067,-0.0024379443293558118,-0.008361302830911023,3,11,9
2023-11-08,-0.020319162947017487,0.007725560403801567,-0.007234315818624355,-0.017405798634926705,-0.008528681338189067,-0.0024379443293558118,2,11,8
2023-11-07,-0.02284918872269518,-0.008040030047434803,0.007725560403801567,-0.007234315818624355,-0.017405798634926705,-0.008528681338189067,1,11,7
2023-11-06,-0.028101998954658727,-0.005066128409382781,-0.008040030047434803,0.007725560403801567,-0.007234315818624355,-0.017405798634926705,0,11,6
2023-11-03,-0.033597276574142215,-0.0011007439220991017,-0.005066128409382781,-0.008040030047434803,0.007725560403801567,-0.007234315818624355,4,11,3
2023-11-02,-0.027620489427548894,0.00351391052221136,-0.0011007439220991017,-0.005066128409382781,-0.008040030047434803,0.007725560403801567,3,11,2
2023-11-01,-0.0020854966984098604,-0.003009940342879652,0.00351391052221136,-0.0011007439220991017,-0.005066128409382781,-0.008040030047434803,2,11,1
2023-10-31,0.004688411661387895,-0.014656260794867312,-0.003009940342879652,0.00351391052221136,-0.0011007439220991017,-0.005066128409382781,1,10,31
2023-10-30,0.00570379691210972,-0.007596154185060475,-0.014656260794867312,-0.003009940342879652,0.00351391052221136,-0.0011007439220991017,0,10,30
2023-10-27,0.0075331328217491025,-0.006353554154062649,-0.007596154185060475,-0.014656260794867312,-0.003009940342879652,0.00351391052221136,4,10,27
2023-10-26,0.021103486406334155,-0.001981367097272124,-0.006353554154062649,-0.007596154185060475,-0.014656260794867312,-0.003009940342879652,3,10,26
2023-10-25,0.013521357937861345,0.0029668468037136646,-0.001981367097272124,-0.006353554154062649,-0.007596154185060475,-0.014656260794867312,2,10,25
2023-10-24,0.024676319446753713,0.010878731934271723,0.0029668468037136646,-0.001981367097272124,-0.006353554154062649,-0.007596154185060475,1,10,24
2023-10-23,0.029115823561090035,-0.0008222458252627194,0.010878731934271723,0.0029668468037136646,-0.001981367097272124,-0.006353554154062649,0,10,23
2023-10-20,0.0258936138814344,-0.005338168903340825,-0.0008222458252627194,0.010878731934271723,0.0029668468037136646,-0.001981367097272124,4,10,20
2023-10-19,0.024930517248134883,-0.0001520311876327407,-0.005338168903340825,-0.0008222458252627194,0.010878731934271723,0.0029668468037136646,3,10,19
2023-10-18,0.02389908908772132,0.016537200388298718,-0.0001520311876327407,-0.005338168903340825,-0.0008222458252627194,0.010878731934271723,2,10,18
2023-10-17,0.011203300466486538,0.0032966034657989146,0.016537200388298718,-0.0001520311876327407,-0.005338168903340825,-0.0008222458252627194,1,10,17
2023-10-16,-0.007237049181745872,0.010332715683629649,0.0032966034657989146,0.016537200388298718,-0.0001520311876327407,-0.005338168903340825,0,10,16
2023-10-13,0.002834654091008096,-0.0008986647890045038,0.010332715683629649,0.0032966034657989146,0.016537200388298718,-0.0001520311876327407,4,10,13
2023-10-12,-0.023270903612219382,-0.003374240867288375,-0.0008986647890045038,0.010332715683629649,0.0032966034657989146,0.016537200388298718,3,10,12
2023-10-11,-0.023567244195998087,0.015574103754999203,-0.003374240867288375,-0.0008986647890045038,0.010332715683629649,0.0032966034657989146,2,10,11
2023-10-10,-0.022178823424176236,0.0022651753053853554,0.015574103754999203,-0.003374240867288375,-0.0008986647890045038,0.010332715683629649,1,10,10
2023-10-09,0.00784193288145076,-0.0023630729376051362,0.0022651753053853554,0.015574103754999203,-0.003374240867288375,-0.0008986647890045038,0,10,9
2023-10-06,0.010243635913328334,-0.019339014437236915,-0.0023630729376051362,0.0022651753053853554,0.015574103754999203,-0.003374240867288375,4,10,6
2023-10-05,0.016666986677574457,0.006697462405465594,-0.019339014437236915,-0.0023630729376051362,0.0022651753053853554,0.015574103754999203,3,10,5
2023-10-04,0.007753349896128896,-0.010531453948228277,0.006697462405465594,-0.019339014437236915,-0.0023630729376051362,0.0022651753053853554,2,10,4
2023-10-03,0.011249553396450148,0.0019688347216066547,-0.010531453948228277,0.006697462405465594,-0.019339014437236915,-0.0023630729376051362,1,10,3
2023-10-02,0.010327403901158756,-0.0009746521657832866,0.0019688347216066547,-0.010531453948228277,0.006697462405465594,-0.019339014437236915,0,10,2
2023-09-29,0.01103363812387262,0.010681741868390082,-0.0009746521657832866,0.0019688347216066547,-0.010531453948228277,0.006697462405465594,4,9,29
2023-09-28,0.016077841462465672,0.009099165437343168,0.010681741868390082,-0.0009746521657832866,0.0019688347216066547,-0.010531453948228277,3,9,28
2023-09-27,0.03640127510827974,-0.004108103183982155,0.009099165437343168,0.010681741868390082,-0.0009746521657832866,0.0019688347216066547,2,9,27
2023-09-26,0.026431381808174892,-0.006944802059838905,-0.004108103183982155,0.009099165437343168,0.010681741868390082,-0.0009746521657832866,1,9,26
2023-09-25,0.020662671272232494,0.002521551334537965,-0.006944802059838905,-0.004108103183982155,0.009099165437343168,0.010681741868390082,0,9,25
2023-09-22,0.02138276911607714,0.00975959237309869,0.002521551334537965,-0.006944802059838905,-0.004108103183982155,0.009099165437343168,4,9,22
2023-09-21,0.014879254911067355,0.009805399660057033,0.00975959237309869,0.002521551334537965,-0.006944802059838905,-0.004108103183982155,3,9,21
2023-09-20,-0.008115678974116428,0.0009361001546108958,0.009805399660057033,0.00975959237309869,0.002521551334537965,-0.006944802059838905,2,9,20
2023-09-19,0.0032536665881287095,0.013378631585975166,0.0009361001546108958,0.009805399660057033,0.00975959237309869,0.002521551334537965,1,9,19
2023-09-18,0.004685985628226853,-0.007448341965566886,0.013378631585975166,0.0009361001546108958,0.009805399660057033,0.00975959237309869,0,9,18
2023-09-15,-0.009405131803094897,0.003990881837156291,-0.007448341965566886,0.013378631585975166,0.0009361001546108958,0.009805399660057033,4,9,15
2023-09-14,-0.00549615248560263,0.01052549750390168,0.003990881837156291,-0.007448341965566886,0.013378631585975166,0.0009361001546108958,3,9,14
2023-09-13,0.005563886767746412,-0.0055674140503988905,0.01052549750390168,0.003990881837156291,-0.007448341965566886,0.013378631585975166,2,9,13
2023-09-12,0.0035684334108043655,-0.009616302299208615,-0.0055674140503988905,0.01052549750390168,0.003990881837156291,-0.007448341965566886,1,9,12
2023-09-11,0.0015088930145067004,0.003921003596678251,-0.009616302299208615,-0.0055674140503988905,0.01052549750390168,0.003990881837156291,0,9,11
2023-09-08,0.006052874431977781,0.0054232008772544344,0.003921003596678251,-0.009616302299208615,-0.0055674140503988905,0.01052549750390168,4,9,8
2023-09-07,0.014427198733299871,-0.0035656199274200686,0.0054232008772544344,0.003921003596678251,-0.009616302299208615,-0.0055674140503988905,3,9,7
2023-09-06,0.009519154619072972,-0.0016584347329066241,-0.0035656199274200686,0.0054232008772544344,0.003921003596678251,-0.009616302299208615,2,9,6
2023-09-05,0.01004153524717772,0.0014437369541404274,-0.0016584347329066241,-0.0035656199274200686,0.0054232008772544344,0.003921003596678251,1,9,5
2023-09-04,-0.0020393802142256523,0.001925550239736205,0.0014437369541404274,-0.0016584347329066241,-0.0035656199274200686,0.0054232008772544344,0,9,4
