Date,LogReturn,Target,Lag_1,Lag_2,Lag_3,Lag_4,Lag_5,lag1_dow_sin,lag1_dow_cos,lag1_month_sin,lag1_month_cos,lag1_dom_sin,lag1_dom_cos,lag2_dow_sin,lag2_dow_cos,lag2_month_sin,lag2_month_cos,lag2_dom_sin,lag2_dom_cos,lag3_dow_sin,lag3_dow_cos,lag3_month_sin,lag3_month_cos,lag3_dom_sin,lag3_dom_cos,lag4_dow_sin,lag4_dow_cos,lag4_month_sin,lag4_month_cos,lag4_dom_sin,lag4_dom_cos,lag5_dow_sin,lag5_dow_cos,lag5_month_sin,lag5_month_cos,lag5_dom_sin,lag5_dom_cos
07/01/2020,0.004514969484720442,0,0.9699466765941067,0.9710241660404147,0.9710241660404147,0.9710241660404147,0.9710241660404147,0.8160447221652576,0.9312750960004917,0.026591433183096418,-1.4235790192072855,-0.29235967045695754,1.435909575352995,-0.6988184011590058,1.419600649706542,0.027263043318575295,-1.4237673442221315,-0.5628155257884918,1.3493567911744189,-1.5398890997486037,-1.0444756532587365,0.027934132032152652,-1.4239562757152031,-1.1992324659558984,0.792086483538759,0.14128093848221152,-1.0445377064045862,0.028604701188703955,-1.4241458151623272,-1.3240645343815443,0.5325104817380032,1.1901058648485858,-0.16582832887068297,0.029274752646226348,-1.424335964044533,-1.3947374365041063,0.2525958355574646
06/30/2020,0.0050191540650128,1,0.9699466765941067,0.9710241660404147,0.9710241660404147,0.9710241660404147,-1.0298404869548627,-0.6991291209009861,1.4195320534985016,0.026591433183096418,-1.4235790192072855,-0.5628155257884918,1.3493567911744189,-1.5400024503955185,-1.044840333259734,0.027263043318575295,-1.4237673442221315,-1.1992324659558986,0.7920864835387591,0.14212838909848288,-1.0444756532587365,0.027934132032152652,-1.4239562757152031,-1.324064534381544,0.5325104817380032,1.1899501961731915,-0.16450327646347132,0.028604701188703955,-1.4241458151623272,-1.3951133299827438,0.2526170563046331,0.8156444004584839,0.9312750960004917,0.029274752646226348,-1.424335964044533,-1.4090935474314148,-0.03616878609064161
06/29/2020,0.015308660060150558,1,0.9699466765941067,0.9710241660404147,0.9710241660404147,-1.0298404869548627,0.9710241660404147,-1.5399871666366725,-1.0456369653556064,0.026591433183096418,-1.4235790192072855,-1.1992324659558984,0.7920864835387591,0.14236564807750726,-1.044840333259734,0.027263043318575295,-1.4237673442221315,-1.3240645343815445,0.5325104817380032,1.1908491399426773,-0.16472164369330686,0.027934132032152652,-1.4239562757152031,-1.3951133299827438,0.2526170563046331,0.8156844713176898,0.9328817082422273,0.028604701188703955,-1.4241458151623272,-1.4094701067197049,-0.036134923038029,-0.7005191156935128,1.4195320534985016,0.029274752646226348,-1.424335964044533,-1.3661725277745258,-0.32197029195967014
06/26/2020,0.01454919021405893,1,0.9699466765941067,0.9710241660404147,-1.0298404869548627,0.9710241660404147,0.9710241660404147,0.1417289248347005,-1.0456369653556064,0.026591433183096418,-1.4235790192072855,-1.324064534381544,0.5325104817380032,1.1913050004479084,-0.16529152977485514,0.027263043318575295,-1.4237673442221315,-1.395113329982744,0.25261705630463316,0.8165650373935687,0.9323136625234453,0.027934132032152652,-1.4239562757152031,-1.4094701067197046,-0.036134923038028996,-0.6996865116386337,1.421263971654923,0.028604701188703955,-1.4241458151623272,-1.366547096465966,-0.32192391632877504,-1.5419263885562455,-1.0456369653556064,0.029274752646226348,-1.424335964044533,-0.9225185690819994,-1.0480447959247465
06/25/2020,-0.024521572026995998,1,0.9699466765941067,-1.0298404869548627,0.9710241660404147,0.9710241660404147,-1.0298404869548627,1.1902617574888306,-0.16582832887068297,0.026591433183096418,-1.4235790192072855,-1.3951133299827438,0.2526170563046331,0.8169428799173816,0.9314878886448914,0.027263043318575295,-1.4237673442221315,-1.4094701067197049,-0.036134923038029,-0.6988803553250607,1.4205403043682514,0.027934132032152652,-1.4239562757152031,-1.3665470964659658,-0.32192391632877504,-1.5406539617594786,-1.0445377064045864,0.028604701188703955,-1.4241458151623272,-0.9228725619301864,-1.0479666322735535,0.14088815716922046,-1.0456369653556064,0.029274752646226348,-1.424335964044533,-0.6898795884785355,-1.2132188456245
06/24/2020,0.010922656317149391,1,-1.0309845109335527,0.9710241660404147,0.9710241660404147,-1.0298404869548627,0.9710241660404147,0.8160447221652576,0.9312750960004917,0.026591433183096418,-1.4235790192072855,-1.4094701067197046,-0.036134923038029,-0.6988184011590058,1.419600649706542,0.027263043318575295,-1.4237673442221315,-1.366547096465966,-0.32192391632877504,-1.5398890997486037,-1.0444756532587365,0.027934132032152652,-1.4239562757152031,-0.9228725619301864,-1.0479666322735532,0.14128093848221152,-1.0445377064045862,0.028604701188703955,-1.4241458151623272,-0.6902227919646405,-1.2131334505445543,1.1901058648485858,-0.16582832887068297,0.029274752646226348,-1.424335964044533,-0.4294081812744584,-1.3272412118103514
06/23/2020,-0.02620830734945607,0,0.9699466765941067,0.9710241660404147,-1.0298404869548627,0.9710241660404147,-1.0298404869548627,-0.6991291209009861,1.4195320534985016,0.026591433183096418,-1.4235790192072855,-1.3665470964659658,-0.32192391632877504,-1.5400024503955185,-1.044840333259734,0.027263043318575295,-1.4237673442221315,-0.9228725619301865,-1.0479666322735535,0.14212838909848288,-1.0444756532587365,0.027934132032152652,-1.4239562757152031,-0.6902227919646404,-1.2131334505445541,1.1899501961731915,-0.16450327646347132,0.028604701188703955,-1.4241458151623272,-0.4297393045824392,-1.3271508247560684,0.8156444004584839,0.9312750960004917,0.029274752646226348,-1.424335964044533,-0.1517680774847923,-1.3854438054135927
06/22/2020,0.004288555507073265,1,0.9699466765941067,-1.0298404869548627,0.9710241660404147,-1.0298404869548627,0.9710241660404147,-1.5399871666366725,-1.0456369653556064,0.026591433183096418,-1.4235790192072855,-0.9228725619301864,-1.0479666322735535,0.14236564807750726,-1.044840333259734,0.027263043318575295,-1.4237673442221315,-0.6902227919646405,-1.2131334505445543,1.1908491399426773,-0.16472164369330686,0.027934132032152652,-1.4239562757152031,-0.42973930458243914,-1.3271508247560682,0.8156844713176898,0.9328817082422273,0.028604701188703955,-1.4241458151623272,-0.15208632436251837,-1.3853508702114037,-0.7005191156935128,1.4195320534985016,0.029274752646226348,-1.424335964044533,0.13167410441998578,-1.3854438054135927
06/19/2020,0.006499797643463357,1,-1.0309845109335527,0.9710241660404147,-1.0298404869548627,0.9710241660404147,0.9710241660404147,0.1417289248347005,-1.0456369653556064,0.026591433183096418,-1.4235790192072855,-0.6902227919646404,-1.2131334505445543,1.1913050004479084,-0.16529152977485514,0.027263043318575295,-1.4237673442221315,-0.4297393045824392,-1.3271508247560684,0.8165650373935687,0.9323136625234453,0.027934132032152652,-1.4239562757152031,-0.15208632436251834,-1.3853508702114035,-0.6996865116386337,1.421263971654923,0.028604701188703955,-1.4241458151623272,0.13136900306207733,-1.3853508702114037,-1.5419263885562455,-1.0456369653556064,0.029274752646226348,-1.424335964044533,0.9024245960171923,-1.0480447959247463
06/18/2020,-0.00566555515139124,0,0.9699466765941067,-1.0298404869548627,0.9710241660404147,0.9710241660404147,0.9710241660404147,1.1902617574888306,-0.16582832887068297,0.026591433183096418,-1.4235790192072855,-0.42973930458243914,-1.3271508247560684,0.8169428799173816,0.9314878886448914,0.027263043318575295,-1.4237673442221315,-0.15208632436251837,-1.3853508702114037,-0.6988803553250607,1.4205403043682514,0.027934132032152652,-1.4239562757152031,0.1313690030620773,-1.3853508702114035,-1.5406539617594786,-1.0445377064045864,0.028604701188703955,-1.4241458151623272,0.9021552406297448,-1.0479666322735532,0.14088815716922046,-1.0456369653556064,0.029274752646226348,-1.424335964044533,1.0977068828202174,-0.8384813077129244
