Date,Target,Lag_1,Lag_2,Lag_3,Lag_4,Lag_5,lag1_dow_sin,lag1_dow_cos,lag1_month_sin,lag1_month_cos,lag1_dom_sin,lag1_dom_cos,lag2_dow_sin,lag2_dow_cos,lag2_month_sin,lag2_month_cos,lag2_dom_sin,lag2_dom_cos,lag3_dow_sin,lag3_dow_cos,lag3_month_sin,lag3_month_cos,lag3_dom_sin,lag3_dom_cos,lag4_dow_sin,lag4_dow_cos,lag4_month_sin,lag4_month_cos,lag4_dom_sin,lag4_dom_cos,lag5_dow_sin,lag5_dow_cos,lag5_month_sin,lag5_month_cos,lag5_dom_sin,lag5_dom_cos
12/20/2023,1,0.9085311550726474,0.9095453409658738,0.9105604447586941,0.9105604447586941,0.9105604447586941,0.8183025386834007,0.9350750163607913,0.03272132949213625,1.381932539934782,-0.9195313946615481,-1.03878704537963,-0.6994385812548215,1.4240865444618578,0.0333880539956113,1.382877001704946,-0.6870793045051701,-1.2045599135790768,-1.5426585788331841,-1.0393475421124465,0.03405427244284007,1.3838226555388244,0.1331926029518708,-1.3774036744189648,0.14081182463224498,-1.0404988522948664,0.03471998664172872,1.3847695042867965,0.41073404128301444,-1.3193226775714555,1.1920186234695012,-0.16198595486591968,0.03538519839360311,1.3857175508087636,0.6711636961013736,-1.2050190215547643
12/19/2023,1,0.9085311550726474,0.9095453409658738,0.9105604447586941,0.9105604447586941,0.9105604447586941,-0.699686456409793,1.423075670568236,0.03272132949213625,1.381932539934782,-0.6872623878236832,-1.2043132267399173,-1.5420101893741176,-1.0396476415969012,0.0333880539956113,1.382877001704946,0.13307795325539346,-1.3771707507128967,0.1420497942992123,-1.0393475421124465,0.03405427244284007,1.3838226555388244,0.41033221423903177,-1.3190646860090824,1.1917084208190036,-0.16066544613235595,0.03471998664172872,1.3847695042867965,0.6707033076719591,-1.2050190215547643,0.8170069430958212,0.9348622422976502,0.03538519839360311,1.3857175508087636,0.9033533764569044,-1.0394374923222367
12/18/2023,1,0.9085311550726474,0.9095453409658738,0.9105604447586941,0.9105604447586941,0.9105604447586941,-1.5421067936558974,-1.0407992941579607,0.03272132949213625,1.381932539934782,0.13298476000395235,-1.3769053499011383,0.14313302686447507,-1.039647641596901,0.0333880539956113,1.382877001704946,0.4102461385326233,-1.3188377517241447,1.1924482840532793,-0.15956362018940617,0.03405427244284007,1.3838226555388244,0.6703340783740684,-1.2047751142293583,0.8166477680579615,0.9364688660215605,0.03471998664172872,1.3847695042867965,0.9028938032435883,-1.0394374923222367,-0.7013843520925666,1.4230056127799247,0.03538519839360311,1.3857175508087636,1.098258510730934,-0.8293570171356557
12/15/2023,1,0.9085311550726474,0.9095453409658738,0.9105604447586941,0.9105604447586941,0.9105604447586941,0.1427338808363118,-1.0407992941579605,0.03272132949213625,1.381932539934782,0.410183323195331,-1.3185786752090691,1.193802636860664,-0.16035109100775408,0.0333880539956113,1.382877001704946,0.6702748097005816,-1.2045599135790765,0.8175654034198352,0.9375089861271857,0.03405427244284007,1.3838226555388244,0.9025536884903699,-1.039213987576909,-0.7019418122787762,1.4247395696535765,0.03471998664172872,1.3847695042867965,1.0977996218279753,-0.8293570171356557,-1.5440279490480382,-1.0415899146208918,0.03538519839360311,1.3857175508087636,1.3889886229615385,-0.02506521407029114
12/14/2023,1,0.9085311550726474,0.9095453409658738,0.9105604447586941,0.9105604447586941,0.9105604447586941,1.1932148591389942,-0.1614525002441177,0.03272132949213625,1.381932539934782,0.6702404937693127,-1.2043132267399173,0.8188229945331046,0.9361137731960362,0.0333880539956113,1.382877001704946,0.9025183624095799,-1.0390157843984271,-0.7003043922669862,1.4257522280780976,0.03405427244284007,1.3838226555388244,1.0974839464651291,-0.8291593980294915,-1.5446954491897968,-1.0404988522948666,0.03471998664172872,1.3847695042867965,1.388530754809663,-0.02506521407029115,0.14125924486290573,-1.0415899146208918,0.03538519839360311,1.3857175508087636,1.3746602382741848,0.26441178142421795
12/13/2023,1,0.9085311550726474,0.9095453409658738,0.9105604447586941,0.9105604447586941,0.9105604447586941,0.8183025386834007,0.9350750163607913,0.03272132949213625,1.381932539934782,0.9025095006071778,-1.0387870453796297,-0.6994385812548215,1.4240865444618578,0.0333880539956113,1.382877001704946,1.0974687183242533,-0.8289827602814606,-1.5426585788331841,-1.0393475421124465,0.03405427244284007,1.3838226555388244,1.3882515344470006,-0.024966697973951103,0.14081182463224498,-1.0404988522948664,0.03471998664172872,1.3847695042867965,1.374202319815466,0.2644117814242179,1.1920186234695012,-0.16198595486591968,0.03538519839360311,1.3857175508087636,1.3037519492063252,0.5450079804098154
12/12/2023,1,0.9085311550726474,0.9095453409658738,0.9105604447586941,0.9105604447586941,0.9105604447586941,-0.699686456409793,1.423075670568236,0.03272132949213625,1.381932539934782,1.097481223278535,-0.8287767924415969,-1.5420101893741176,-1.0396476415969012,0.0333880539956113,1.382877001704946,1.388266285384658,-0.02487262334334503,0.1420497942992123,-1.0393475421124465,0.03405427244284007,1.3838226555388244,1.373921302799329,0.2644746288224325,1.1917084208190036,-0.16066544613235595,0.03471998664172872,1.3847695042867965,1.3032937817891745,0.5450079804098154,0.8170069430958212,0.9348622422976502,0.03538519839360311,1.3857175508087636,1.179166749443768,0.8052357415313773
12/11/2023,1,0.9085311550726474,0.9095453409658738,0.9105604447586941,0.9105604447586941,0.9105604447586941,-1.5421067936558974,-1.0407992941579607,0.03272132949213625,1.381932539934782,1.3883106620471515,-0.024753834821530922,0.14313302686447507,-1.039647641596901,0.0333880539956113,1.382877001704946,1.3739345762437656,0.26453898771668555,1.1924482840532793,-0.15956362018940617,0.03405427244284007,1.3838226555388244,1.3030038734969627,0.5450362533814863,0.8166477680579615,0.9364688660215605,0.03471998664172872,1.3847695042867965,1.178708144608984,0.8052357415313773,-0.7013843520925666,1.4230056127799247,0.03538519839360311,1.3857175508087636,1.006005171702932,1.0344413096731233
12/08/2023,1,0.9085311550726474,0.9095453409658738,0.9105604447586941,0.9105604447586941,0.9105604447586941,0.1427338808363118,-1.0407992941579605,0.03272132949213625,1.381932539934782,1.3739773821364054,0.26462639906051266,1.193802636860664,-0.16035109100775408,0.0333880539956113,1.382877001704946,1.3030098351251234,0.5450718081814573,0.8175654034198352,0.9375089861271857,0.03405427244284007,1.3838226555388244,1.1784026144279856,0.8052319498291717,-0.7019418122787762,1.4247395696535765,0.03471998664172872,1.3847695042867965,1.0055459588992424,1.0344413096731233,-1.5440279490480382,-1.0415899146208918,0.03538519839360311,1.3857175508087636,0.274087391139611,1.4506753837899107
12/07/2023,1,0.9085311550726474,0.9095453409658738,0.9105604447586941,0.9105604447586941,0.9105604447586941,1.1932148591389942,-0.1614525002441177,0.03272132949213625,1.381932539934782,1.3030448675942203,0.5451288049603445,0.8188229945331046,0.9361137731960362,0.0333880539956113,1.382877001704946,1.1783957292634315,0.8052407914199358,-0.7003043922669862,1.4257522280780976,0.03405427244284007,1.3838226555388244,1.0052187157787071,1.034409275781224,-1.5446954491897968,-1.0404988522948666,0.03471998664172872,1.3847695042867965,0.27362560857848645,1.4506753837899107,0.14125924486290573,-1.0415899146208918,-0.673635436846076,1.1965762506610775,-0.28879925462547845,1.4506753837899105
