Date,Target,Lag_1,Lag_2,Lag_3,Lag_4,Lag_5,day_of_week,month,day_of_month
2018-08-22,-0.010134036122407444,-0.0018849848158122634,-0.005229463483313837,0.007115770488168749,0.0062576302195404,0.011186560734410309,2,8,22
2018-08-21,0.0060537802146688816,0.0014559908923668025,-0.0018849848158122634,-0.005229463483313837,0.007115770488168749,0.0062576302195404,1,8,21
2018-08-20,0.0067206468647692,-0.001128141974901014,0.0014559908923668025,-0.0018849848158122634,-0.005229463483313837,0.007115770488168749,0,8,20
2018-08-17,0.014242044006858974,0.003372711180755304,-0.001128141974901014,0.0014559908923668025,-0.0018849848158122634,-0.005229463483313837,4,8,17
2018-08-16,0.024238104094347644,-0.00431292067472379,0.003372711180755304,-0.001128141974901014,0.0014559908923668025,-0.0018849848158122634,3,8,16
2018-08-15,0.036506673992995536,-0.0002924253261168592,-0.00431292067472379,0.003372711180755304,-0.001128141974901014,0.0014559908923668025,2,8,15
2018-08-14,0.013938798890556584,-0.007773259327421093,-0.0002924253261168592,-0.00431292067472379,0.003372711180755304,-0.001128141974901014,1,8,14
2018-08-13,0.0027871022201428957,0.015059674362175313,-0.007773259327421093,-0.0002924253261168592,-0.00431292067472379,0.003372711180755304,0,8,13
2018-08-10,-0.0010322254900083244,0.004039577830855622,0.015059674362175313,-0.007773259327421093,-0.0002924253261168592,-0.00431292067472379,4,8,10
2018-08-09,-0.021654227491635078,0.0032084764673659854,0.004039577830855622,0.015059674362175313,-0.007773259327421093,-0.0002924253261168592,3,8,9
2018-08-08,-0.016039686535070284,0.009703634761371809,0.0032084764673659854,0.004039577830855622,0.015059674362175313,-0.007773259327421093,2,8,8
2018-08-07,0.003915377104530502,0.004495310571226798,0.009703634761371809,0.0032084764673659854,0.004039577830855622,0.015059674362175313,1,8,7
2018-08-06,0.00482537775774155,-0.007508200740263639,0.004495310571226798,0.009703634761371809,0.0032084764673659854,0.004039577830855622,0,8,6
2018-08-03,0.005495960882306586,-0.007112118839558063,-0.007508200740263639,0.004495310571226798,0.009703634761371809,0.0032084764673659854,4,8,3
2018-08-02,0.011449620128465687,-0.0006108512427852356,-0.007112118839558063,-0.007508200740263639,0.004495310571226798,0.009703634761371809,3,8,2
2018-08-01,0.000698836237561386,-0.010918367240254946,-0.0006108512427852356,-0.007112118839558063,-0.007508200740263639,0.004495310571226798,2,8,1
2018-07-31,-0.00513786718225699,0.010109851527791595,-0.010918367240254946,-0.0006108512427852356,-0.007112118839558063,-0.007508200740263639,1,7,31
2018-07-30,-0.005868488070169524,0.012446862899337146,0.010109851527791595,-0.010918367240254946,-0.0006108512427852356,-0.007112118839558063,0,7,30
2018-07-27,-0.0029284615957088376,-0.006202118186347016,0.012446862899337146,0.010109851527791595,-0.010918367240254946,-0.0006108512427852356,4,7,27
2018-07-26,0.002710604416907677,5.9731881779801724e-05,-0.006202118186347016,0.012446862899337146,0.010109851527791595,-0.010918367240254946,3,7,26
2018-07-25,0.0023502509100010102,-0.004964707994095847,5.9731881779801724e-05,-0.006202118186347016,0.012446862899337146,0.010109851527791595,2,7,25
2018-07-24,-0.010788229869135748,-0.000640932363112705,-0.004964707994095847,5.9731881779801724e-05,-0.006202118186347016,0.012446862899337146,1,7,24
2018-07-23,-0.007254768241646457,0.006610159479518769,-0.000640932363112705,-0.004964707994095847,5.9731881779801724e-05,-0.006202118186347016,0,7,23
2018-07-20,-0.0022059033784820204,-0.00693273907425955,0.006610159479518769,-0.000640932363112705,-0.004964707994095847,5.9731881779801724e-05,4,7,20
